fact,k_s,pzt,pzm,fnlt,fnlm
4.000000000000000734e-04,2.007237259224333437e-01,2.100336410591981877e-09,2.100732622069504698e-09,-3.840620491443685197e-02,8.505749080517982855e-03
4.010084723516702627e-04,2.012297867422258302e-01,2.100271362070512571e-09,2.100669995743116339e-09,-3.828201119325598534e-02,8.534362116254065600e-03
4.020194872445506835e-04,2.017371234328809160e-01,2.100233765483910187e-09,2.100633592641706835e-09,-3.835233537521810787e-02,8.563034474970929524e-03
4.030330510888475775e-04,2.022457392110997565e-01,2.100225659013987058e-09,2.100622563466525308e-09,-3.818842684044660568e-02,8.591766938456911820e-03
4.040491703109285208e-04,2.027556373016934643e-01,2.100236009864380417e-09,2.100634095670419294e-09,-3.827560995919408737e-02,8.620559408337382865e-03
4.050678513533631357e-04,2.032668209376035373e-01,2.100266511161714570e-09,2.100663615206535973e-09,-3.831102341090934782e-02,8.649410868864388161e-03
4.060891006749639651e-04,2.037792933599222311e-01,2.100307840732147541e-09,2.100705127405821698e-09,-3.807688323503541361e-02,8.678319875709428893e-03
4.071129247508272386e-04,2.042930578179131540e-01,2.100353366961458322e-09,2.100751671888219250e-09,-3.808748564637245287e-02,8.707284057083824677e-03
4.081393300723742349e-04,2.048081175690319722e-01,2.100394420426604613e-09,2.100795859153308872e-09,-3.805238016449698224e-02,8.736300915620037050e-03
4.091683231473922100e-04,2.053244758789469493e-01,2.100431607883894450e-09,2.100830447069677743e-09,-3.797810206961811652e-02,8.765367712395883207e-03
4.101999105000757057e-04,2.058421360215596518e-01,2.100449239567650939e-09,2.100848913398395594e-09,-3.802314606875010355e-02,8.794481688631053048e-03
4.112340986710679661e-04,2.063611012790258492e-01,2.100449770215038555e-09,2.100845977785392364e-09,-3.801800736118252089e-02,8.823640640645412370e-03
4.122708942175024082e-04,2.068813749417761083e-01,2.100417220482702584e-09,2.100818031631882491e-09,-3.798760690432936155e-02,8.852842912066635414e-03
4.133103037130441467e-04,2.074029603085368600e-01,2.100362758563835232e-09,2.100763439645151214e-09,-3.789129291936856048e-02,8.882086989486085923e-03
4.143523337479316821e-04,2.079258606863511327e-01,2.100285088816626150e-09,2.100682684964017329e-09,-3.797380046349017185e-02,8.911373553953194290e-03
4.153969909290182623e-04,2.084500793905994243e-01,2.100179491637024019e-09,2.100578346354238353e-09,-3.789694595319750142e-02,8.940703162235162302e-03
4.164442818798155224e-04,2.089756197450216291e-01,2.100056106334323189e-09,2.100454903759713760e-09,-3.785063291321738577e-02,8.970077795486707667e-03
4.174942132405328951e-04,2.095024850817366335e-01,2.099920724601581165e-09,2.100318386013214136e-09,-3.800708723094071984e-02,8.999500074196609481e-03
4.185467916681213582e-04,2.100306787412644649e-01,2.099777134636388482e-09,2.100175887486874517e-09,-3.780910406967141063e-02,9.028973483485521617e-03
4.196020238363152308e-04,2.105602040725471635e-01,2.099640308228495044e-09,2.100034990153132156e-09,-3.776969763994283968e-02,9.058502045534461145e-03
4.206599164356746739e-04,2.110910644329701547e-01,2.099503200250833241e-09,2.099903138493872937e-09,-3.786464448694019935e-02,9.088089784896120904e-03
4.217204761736278659e-04,2.116232631883833704e-01,2.099386850706190098e-09,2.099787017883429900e-09,-3.781264727891998217e-02,9.117740580169954659e-03
4.227837097745136118e-04,2.121568037131226492e-01,2.099290941536615111e-09,2.099691988882085862e-09,-3.779417512841538873e-02,9.147458219201978422e-03
4.238496239796239523e-04,2.126916893900311356e-01,2.099224358779978596e-09,2.099621626272148294e-09,-3.761026539792580725e-02,9.177245347412210652e-03
4.249182255472470980e-04,2.132279236104808184e-01,2.099176107865712331e-09,2.099577403224026497e-09,-3.766806067161149879e-02,9.207104047659323345e-03
