fact,k_s,pzt,pzm,fnlt,fnlm
4.000000000000000734e-04,2.007237259224333437e-01,2.100336410591981877e-09,2.100373344741993441e-09,-3.840620491443685197e-02,8.505749049265761558e-03
4.010072604200485809e-04,2.012291785836491653e-01,2.100289168377866369e-09,2.100331072059420336e-09,-3.830012169256769017e-02,8.534327733728112528e-03
4.020170572739815203e-04,2.017359040510146029e-01,2.100247521256295627e-09,2.100289482376619511e-09,-3.831448489739901209e-02,8.562965636393932850e-03
4.030293969489230112e-04,2.022439055296479937e-01,2.100206444667051855e-09,2.100248562675721511e-09,-3.822446192500102841e-02,8.591663426284085539e-03
4.040442858480796317e-04,2.027531862327380807e-01,2.100128056531093514e-09,2.100170408514786626e-09,-3.816396362810414028e-02,8.620421012828421992e-03
4.050617303907834616e-04,2.032637493815654672e-01,2.100084538803759119e-09,2.100125080392051628e-09,-3.832492001124997161e-02,8.649237570181201457e-03
4.060817370125308968e-04,2.037755982055222126e-01,2.100042223408450326e-09,2.100080472310844717e-09,-3.819669804919514217e-02,8.678111493526468462e-03
4.071043121650240112e-04,2.042887359421325100e-01,2.099995634634005543e-09,2.100036563240026856e-09,-3.824642589707853702e-02,8.707040483603333686e-03
4.081294623162116486e-04,2.048031658370733366e-01,2.099954834110654802e-09,2.099993338025781157e-09,-3.808965597736163611e-02,8.736022065574900949e-03
4.091571939503285617e-04,2.053188911441940767e-01,2.099909967569688467e-09,2.099950774744983330e-09,-3.801880038632961256e-02,8.765053470198198166e-03
4.101875135679392144e-04,2.058359151255385600e-01,2.099827633585584108e-09,2.099872027883458487e-09,-3.810054874921761647e-02,8.794131983714072176e-03
4.112204276859769215e-04,2.063542410513645731e-01,2.099784677773186906e-09,2.099825031327821922e-09,-3.810306236287297477e-02,8.823255374109247387e-03
4.122559428377855898e-04,2.068738722001650099e-01,2.099737263453889985e-09,2.099778752363518442e-09,-3.807198573459988356e-02,8.852421995023862858e-03
4.132940655731616778e-04,2.073948118586887157e-01,2.099691631189866055e-09,2.099733165346305452e-09,-3.800762975987258957e-02,8.881630346232936152e-03
4.143348024583936055e-04,2.079170633219603603e-01,2.099652504432964149e-09,2.099688256466701651e-09,-3.798766523940364653e-02,8.910881119973743450e-03
4.153781600763059361e-04,2.084406298933026425e-01,2.099604255486308271e-09,2.099644010703548416e-09,-3.789965924630875338e-02,8.940174781007743238e-03
